,sector,qf_code,title,download_link
0,Agriculture,AGR/ Q0503,Coconut Grower,https://nqr.gov.in/sites/default/files/NSQF%20-%20Coconut%20Grower.pdf
1,Telecom,2015/TEL/TSSC/00983,Installation Engineer- SDH& DWDM,https://nqr.gov.in/sites/default/files/NSQF%20-%20SIMPLIFIED%20QF%20-%20Installation%20Engineer%20%E2%80%93%20SDH%20%26%20DWDM.pdf
2,Tourism & Hospitality,THC/Q2701,Dishwasher-Manual and Machine,https://nqr.gov.in/sites/default/files/NSQF-Dishwasher-Manual%20and%20Machine.pdf
3,Tourism & Hospitality,THC/Q7601,Boat Jetty Incharge,https://nqr.gov.in/sites/default/files/NSQF-Boat%20Jetty%20Incharge.pdf
4,Tourism & Hospitality,THC/Q0405,Commi 1,https://nqr.gov.in/sites/default/files/NSQF-Commi%201.pdf
5,Tourism & Hospitality,THC/Q5709,Facility Supervisor,https://nqr.gov.in/sites/default/files/NSQF-Facility%20Supervisor.pdf
6,Tourism & Hospitality,THC/Q4304,Team Leader,https://nqr.gov.in/sites/default/files/NSQF-Team%20Leader.pdf
7,Tourism & Hospitality,THC/Q0307,Food & Beverage Service - Trainee,https://nqr.gov.in/sites/default/files/NSQF-Food%20%26%20Beverage%20Service%20-%20Trainee.pdf
8,Media & Entertainment,2019/ME/MESC/3429,Clean up Artist,https://nqr.gov.in/sites/default/files/NSQF%20Cleanup%20artist.pdf
9,Automotive,ASC/Q5101,Product Conceptualization Engineer,https://nqr.gov.in/sites/default/files/NSQF%20-%20Product%20Conceptualization%20Engineer.pdf
10,Automotive,ASC/Q8403,Test Engineer,https://nqr.gov.in/sites/default/files/NSQF-Test%20Engineer.pdf
11,Electronics & HW,ELE/Q7302,Field Technician – Wireman Control Panel,https://nqr.gov.in/sites/default/files/NSQF-Field%20Technician%20%E2%80%93%20Wireman%20Control%20Panel.pdf
12,Automotive,DGT/1124,Mechanic Auto Electrical and Electronics,https://nqr.gov.in/sites/default/files/NSQF-Mechanic%20Auto%20Electrical%20and%20Electronics_0.pdf
13,Automotive,DGT/1125,Mechanic Motor Cycle (CTS),https://nqr.gov.in/sites/default/files/NSQF%20-%20Mechanic%20Motor%20Cycle_0.pdf
14,Electronics & HW,ELE/Q0111,Testing Technician,https://nqr.gov.in/sites/default/files/NSQF-Testing%20Technician.pdf
15,Electronics & HW,ELE/Q1201,VLSI Design Engineer,https://www.nqr.gov.in/qualification/file/QFile_VLSI%20Design%20Engineer.pdf
16,Electronics & HW,ELE/Q8703,PCB Design Engineer,https://nqr.gov.in/sites/default/files/NSQF-PCB%20Design%20Engineer.pdf
17,IT-ITeS,SSC/Q0507,Engineer Trainee,https://nqr.gov.in/sites/default/files/NSQF-Engineer%20Trainee.pdf
18,Life Sciences,LFS/Q0308,Quality Control Chemist - Microbiology,https://nqr.gov.in/sites/default/files/NSQF-Quality%20Control%20Chemist%20-%20Microbiology.pdf
19,IT-ITeS,SSC/Q2902,Legal Associate,https://nqr.gov.in/sites/default/files/NSQF-Legal%20Associate.pdf
20,IT-ITeS,QG-04-IT-01494-2023-V1.1-NASSCOM,Test Engineer-ITS,https://www.nqr.gov.in/qualification/file/QF_SSC1301_Test%20Engineer-IT%20Services_V3.0.pdf
21,Handicrafts & Carpets,HCS/Q1101,Stringing/Beading Artisan (Fashion Jewellery),https://nqr.gov.in/sites/default/files/NSQF-%20Stringing%20Beading%20Artisan%20%28Fashion%20Jewellery%29.pdf
22,Handicrafts & Carpets,HCS/Q1402,Stone Cutter (Cutting machine operator),https://nqr.gov.in/sites/default/files/NSQF%20-%20Stone%20Cutter%20%28Cutting%20machine%20operator%29.pdf
23,Apparel,(AMH/Q2101,Production Supervisor - Sewing,https://nqr.gov.in/sites/default/files/NSQF-Production%20Supervisor%20-%20Sewing.pdf
