Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,NQR code,Qf link,pdf_number
Fire Safety Technician (Oil & Gas),2020/HYC/HSSCI/3611,The main responsibility of the fire safety technician is to ensure adherence to fire safety procedures and conduct firefighting operations in oil and gas industry. He/she conducts inspection of the workplace to ensure safety from fire hazards. The individual is also responsible for maintenance of fire safety equipment and coordination with operation and maintenance team for organising safety awareness programs to ensure the safety of the workers and surrounding,Hydrocarbon,Level 4,450 Hours,450 Hours,Version ,17 Nov 2022,16 Nov 2025,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,"Management of Health, Safety and Environment (HSE)",Senior Fire Safety Technician,General Qualification,N.A.,"{""Theory"":""120"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",2020/HYC/HSSCI/3611,https://www.nqr.gov.in/qualification/file/STT-QF_Fire%20Safety%20Technician%20%28Oil%20&%20Gas%29.pdf,0
Hindi Typist,2020/OAFM/MEPSC/03792,"The Hindi Typist, is responsible for formatting and typing various types of documents in Hindi with speed and accuracy. The individual types letters, reports, forms, correspondence, policies, tabular statements, or other documents from rough drafts, handwritten copies, dictated notes, or voice recordings using word processing software or typewriter. The individual also checks documents for errors in spelling, grammar, punctuation and format, and corrects identified errors. The main purpose of the qualification and the target learners is to get unemployed people into work and to upgrade the skills of people already in work.",Management,Level 4,450 Hours,390 Hours,Version ,17 Nov 2022,17 Nov 2025,Management & Entrepreneurship and Professional Skills Council (MEPSC),Management Entrepreneurship and Professional Skills Council (MEPSC),Office Support,Multi-functional Office Executive,General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",2020/OAFM/MEPSC/03792,https://www.nqr.gov.in/qualification/file/QFile_Hindi%20Typist_English.pdf,1
Certificate Course in Coding Skills,2020/ITES/ASAP/03802,"Individuals at this job are responsible for developing applications and platforms in any language in order to build a robust hack free system. They will be responsible for evaluating the technical performance of algorithmic models on the system on which it is being deployed. They will be responsible for developing, designing, building, testing and deploying programming solutions.",IT-ITeS,Level 5,270 Hours,270 Hours,Version ,25 Jun 2020,01 Mar 2026,"Additional Skill Acquisition Programme, Government of Kerala","Additional Skill Acquisition Programme, Government of Kerala.",Software Engineer /Project Engineer,"VERTICAL PROGRESSION 
Engineer Trainee, Project Engineer,  Module Lead, Development Manager 

HORIZONTAL PROGRESSION 
Trainee Coder , Programming Research , Consultant/Entrepreneur","Future Skills Qualification,General Qualification",N.A.,"{""Theory"":""36"",""Practical"":""204"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",2020/ITES/ASAP/03802,https://www.nqr.gov.in/qualification/file/Q%20File_Coding%20Skills_ASAP%20Kerala_Rationalisation.pdf,2
Transit and Self-Loading Mixer Operator,2020/CON/IESC/3881,"Transit and Self-Loading Mixer operator drives and controls the mixer operations safely and as per
schedule. He is responsible for loading the required quantity of aggregates, sand and cement as per
the mix design into the drum and discharge the concrete to the desired location at the site after
mixing the batched aggregates.",Infrastructure,Level 4,390 Hours,390 Hours,Version ,17 Oct 2019,17 Oct 2022,Infrastructure Equipment Sector Skill Council,Infrastructure Equipment Sector Council,Transit and Self-Loading Mixer Operator,Senior Transit and Self-Loading mixer operator,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""150""}",2020/CON/IESC/3881,https://nqr.gov.in/sites/default/files/QF%20-IESC%20%285%29.pdf,3
AI – Data Architect,2020/ITES/ITSSC/04327,"Individuals at this job must be responsible for designing and implementing the component specifications of various elements of data architecture such as databases, data warehouses, data lakes and data pipelines. They are also responsible for updating and migrating the data architecture based on standards and the organization’s requirements. They need to be well organized with excellent critical thinking and decision making abilities. They need to have superior team management and communication skills to work with customers and decision
makers across multiple teams.",IT-ITeS,Level 7,750 Hours,660 Hours,Version ,19 Dec 2018,22 Sep 2025,IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),IT-ITeS SSC NASSCOM,Artificial Intelligence and Big Data Analytics,"Solutions Architect, Senior Database Administrator",Upskilling Qualification,N.A.,"{""Theory"":""180"",""Practical"":""330"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",2020/ITES/ITSSC/04327,https://www.nqr.gov.in/qualification/file/SSC%20Q8107_AI%20Data%20Architect_V3.pdf,4
AI – Data Engineer,2020/ITES/ITSSC/04328,"Individuals at this job are responsible for working on different aspects of data architecture. They will be responsible for developing data integrations such as data warehouses or data lakes for storing data, or data pipelines for performing operations on data in real-time. They will need to have strong communication skills to work with stakeholders and decision makers across multiple teams to ensure timely release of applications.",IT-ITeS,Level 6,570 Hours,570 Hours,Version ,19 Dec 2018,22 Sep 2025,IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),IT-ITeS SSC NASSCOM,Artificial Intelligence and Big Data Analytics,"Data Architect, Solutions Architect","Future Skills Qualification,Upskilling Qualification",N.A.,"{""Theory"":""150"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",2020/ITES/ITSSC/04328,https://www.nqr.gov.in/qualification/file/SSC%20Q8106_AI%20Data%20Engineer_V3.pdf,5
Automotive Assembly Assistant,2021/AUT/ASDC/04333,"The individual in this role supports the Automotive Assembly Operator during preparation for assembly work such as bringing auto components and tools, assembling activities such as equipment setup, holding tools etc. and post-assembly activities such as cleaning and maintenance of equipment and work area.",Automotive,Level 2,256 Hours,256 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Assembly Operation,"Automotive Assembly Operator, Automotive Assembly Technician, Assembly Lead Technician, Assembly Master Technician",General Qualification,N.A.,"{""Theory"":""100"",""Practical"":""156"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",2021/AUT/ASDC/04333,https://www.nqr.gov.in/qualification/file/QF%20-%20Automotive%20Assembly%20Assistant.pdf,6
Automotive Forging Technician,2021/AUT/ASDC/04346,The individual is involved in operating the forging process apparatus and performing various forging andpost-forging activities.,Automotive,Level 4,400 Hours,400 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Forging Operation,Automotive Forging Lead Technician,General Qualification,N.A.,"{""Theory"":""140"",""Practical"":""260"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",2021/AUT/ASDC/04346,https://www.nqr.gov.in/qualification/file/QF%20-%20Automotive%20Forging%20Technician.pdf,7
Automotive Machining Master Technician,2021/AUT/ASDC/04340,"The individual is primarily involved in various machining and new product development processes onCNC/conventional machines such as writing and modifying CNC program, quality verification, resetting ofthe tools, machine PPAP process, six sigma capability study etc.",Automotive,Level 6,560 Hours,560 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Machining Operation,Automotive Production Manager,General Qualification,N.A.,"{""Theory"":""208"",""Practical"":""352"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",2021/AUT/ASDC/04340,https://www.nqr.gov.in/qualification/file/QF%20-%20Automotive%20Machining%20Master%20Technician.pdf,8
AI – Solution Architect,2020/ITES/ITSSC/04326,"Individuals at this job are responsible for the design of one or more applications or services for an organization. They play a significant role in determining what type of application will be developed, how it will work, what the modules of the application will be and how they interact with each other based on the needs of the organization or the client. They need to be well organized with excellent critical thinking and decision making abilities. They need to have superior team management and communication skills to work with customers and decision makers across multiple teams.",IT-ITeS,Level 7,660 Hours,660 Hours,Version ,19 Dec 2018,22 Sep 2025,IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),IT-ITeS SSC NASSCOM,Artificial Intelligence and Big Data Analytics,Chief Data Officer,"Future Skills Qualification,Upskilling Qualification",N.A.,"{""Theory"":""160"",""Practical"":""320"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",2020/ITES/ITSSC/04326,https://www.nqr.gov.in/qualification/file/SSC%20Q8108_AI%20Solution%20Architect_V3.pdf,9
Automotive Maintenance Lead Technician-Electrical,2021/AUT/ASDC/04351,The individual in this job plan and perform maintenance of the electrical and electronic systems of equipment,Automotive,Level 5,504 Hours,504 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Plant and Equipment Maintenance,Automotive Maintenance Master Technician- Mechanical and Electrical,General Qualification,N.A.,"{""Theory"":""184"",""Practical"":""320"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",2021/AUT/ASDC/04351,https://www.nqr.gov.in/qualification/file/QF%20-%20Automotive%20Maintenance%20Lead%20Technician%20Electrical.pdf_%20Copy.pdf,10
Automotive Maintenance Lead Technician-Mechanical,2021/AUT/ASDC/04352,The individual in this job plan and perform maintenance of the mechanical parts (including hydraulic &pneumatic parts) of equipment.,Automotive,Level 5,504 Hours,504 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Plant and Equipment Maintenance,"Maintenance Master Technician, Automation Specialist",General Qualification,N.A.,"{""Theory"":""184"",""Practical"":""320"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",2021/AUT/ASDC/04352,https://www.nqr.gov.in/qualification/file/QF%20-%20Automotive%20Maintenance%20Lead%20Technician%20Mechanical_6808.pdf,11
Automotive Body Painting Operator,2021/AUT/ASDC/04344,"The individual in this role supports the painting technician in pre-treatment and body preparation processes, painting activities such as mixing of paint, applying paint etc. and post-painting activities such as quality check, maintenance, storing and tagging etc.",Automotive,Level 3,304 Hours,304 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Painting & Surface Treatment Operation,"Painting technician, Painting lead technician, Painting  master Technician",General Qualification,N.A.,"{""Theory"":""112"",""Practical"":""192"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",2021/AUT/ASDC/04344,https://www.nqr.gov.in/qualification/file/QF%20-%20Automotive%20Painting%20Operator.pdf,12
Automotive Welding Machine Master Technician,2021/AUT/ASDC/04337,"The individual is primarily involved in various welding and new product development processes such aswriting program for robotic welding, quality check, creating process sheet, etc.",Automotive,Level 6,560 Hours,560 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Metal Joining,Automotive Production Manager,General Qualification,N.A.,"{""Theory"":""208"",""Practical"":""352"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",2021/AUT/ASDC/04337,https://www.nqr.gov.in/qualification/file/QF%20-%20Automotive%20Welding%20Machine%20Master%20Technician.pdf,13
Automotive Material Handling Assistant,2021/AUT/ASDC/04347,"The individuals at this job perform loading and unloading of raw material, different vehicles, parts, assemblies, components etc. and transfer them to the stores and transport vehicles based on the requirement.",Automotive,Level 2,256 Hours,256 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Supply Chain Management,Automotive Material Stores Operator,General Qualification,N.A.,"{""Theory"":""100"",""Practical"":""156"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",2021/AUT/ASDC/04347,https://www.nqr.gov.in/qualification/file/QF%20-%20Material%20Handling%20Assistant.pdf,14
Automotive Production Equipment Design Engineer,2021/AUT/ASDC/04350,"The individual at this job is responsible for design details of the equipment- mechanism, fixtures, tools,
gauges and other instruments for manufacturing & measuring the quality standards of the production
process.
1.	Design fixtures, workstation and their mechanisms
2.	Release the drawings and manage the documentation for engineering change
3.	Select and operate 3D Printing machine for product generation
4.	Manage work and resources (Manufacturing)
5.	Interact effectively with team, customers and others",Automotive,Level 6,504 Hours,504 Hours,Version ,29 Jul 2021,29 Jul 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Assembly,"Automotive Production Equipment, Design Manager",General Qualification,N.A.,"{""Theory"":""202"",""Practical"":""302"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",2021/AUT/ASDC/04350,https://www.nqr.gov.in/qualification/file/6405%20-Automotive%20Production%20Equipment%20Designer%20Engineer.pdf,15
Cathodic Protection Technician,2021/HYC/HSSCI/04663,"The cathodic protection technician is responsible for the prevention of metallic high-pressure hydrocarbon product pipeline/structure against the corrosion. The individual identiﬁes the corrosion/damage in the pipeline and carry out the installation, commissioning and maintenance of the cathodic protection system. The person makes sure that the system is functioning correctly and providing adequate corrosion protection.",Hydrocarbon,Level 4,660 Hours,660 Hours,Version ,17 Nov 2022,16 Nov 2025,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,Operations - Oil and Gas pipeline,Senior Technician-Cathodic Protection,General Qualification,N.A.,"{""Theory"":""210"",""Practical"":""360"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",2021/HYC/HSSCI/04663,https://www.nqr.gov.in/qualification/file/STT-QF_Cathodic%20Protection%20Technician.pdf,16
Solar PV Installer-Civil-PwD LD,2021/PWD/SCPWD/04886,"Solar PV Installer - Civil installs different civil and mechanical components of photovoltaic systems that meet the performance and reliability needs of customers by incorporating quality craftsmanship and complying with all applicable codes, standards,
and safety requirements.",Persons with Disability,Level 4,170 Hours,170 Hours,Version ,30 Dec 2021,27 May 2023,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability (SCPwD),"Civil Engineering Technicians, Other",Vertical Progression: Solar PV O&M Engineer (Level 5),General Qualification,N.A.,"{""Theory"":""68"",""Practical"":""102"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",2021/PWD/SCPWD/04886,https://nqr.gov.in/sites/default/files/Q%20file%20NSQF%20Solar_PV_Civil_Installer%20_LD_0.pdf,17
Solar PV Installer-Civil-PwD SHI,2021/PWD/SCPWD/04887,"Solar PV Installer - Civil installs different civil and mechanical components of photovoltaic systems that meet the performance and reliability needs of customers by incorporating quality craftsmanship and complying with all applicable codes, standards,
and safety requirements.",Persons with Disability,Level 4,260 Hours,260 Hours,Version ,30 Dec 2021,27 May 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability (SCPwD),"Civil Engineering Technicians, Other",Vertical Progression: Solar PV O&M Engineer (Level 5),General Qualification,Green Jobs,"{""Theory"":""124"",""Practical"":""136"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",2021/PWD/SCPWD/04887,https://nqr.gov.in/sites/default/files/Q%20file%20NSQF%20Solar_PV_Civil_Installer%20SHI_0.pdf,18
